Load Case     c_max BS     C_max overall
Case1-1.409-11.344-60D_30    0.480699E-01    0.480699E-01
Case1-1.409-11.594-60D_30    0.476178E-01    0.476178E-01
Case1-1.409-11.844-60D_30    0.472304E-01    0.472304E-01
Case1-1.409-12.094-60D_30    0.469054E-01    0.469054E-01
Case1-1.409-12.344-60D_30    0.466413E-01    0.466413E-01
Case1-1.409-12.594-60D_30    0.464360E-01    0.464360E-01
Case1-1.409-12.844-60D_30    0.462871E-01    0.462871E-01
Case1-1.409-13.094-60D_30    0.461927E-01    0.461927E-01
Case1-1.409-13.344-60D_30    0.461532E-01    0.461532E-01
Case1-1.409-13.594-60D_30    0.461643E-01    0.461643E-01
Case1-1.409-13.844-60D_30    0.462266E-01    0.462266E-01
Case1-1.434-11.344-60D_30    0.473212E-01    0.473212E-01
Case1-1.434-11.594-60D_30    0.467795E-01    0.467795E-01
Case1-1.434-11.844-60D_30    0.463014E-01    0.463014E-01
Case1-1.434-12.094-60D_30    0.458848E-01    0.458848E-01
Case1-1.434-12.344-60D_30    0.455253E-01    0.455253E-01
Case1-1.434-12.594-60D_30    0.452207E-01    0.452207E-01
Case1-1.434-12.844-60D_30    0.449692E-01    0.449692E-01
Case1-1.434-13.094-60D_30    0.447698E-01    0.447698E-01
Case1-1.434-13.344-60D_30    0.446206E-01    0.446206E-01
Case1-1.434-13.594-60D_30    0.445202E-01    0.445202E-01
Case1-1.434-13.844-60D_30    0.444666E-01    0.444666E-01
Case1-1.459-11.344-60D_30    0.467584E-01    0.467584E-01
Case1-1.459-11.594-60D_30    0.461390E-01    0.461390E-01
Case1-1.459-11.844-60D_30    0.455834E-01    0.455834E-01
Case1-1.459-12.094-60D_30    0.450869E-01    0.450869E-01
Case1-1.459-12.344-60D_30    0.446461E-01    0.446461E-01
Case1-1.459-12.594-60D_30    0.442591E-01    0.442591E-01
Case1-1.459-12.844-60D_30    0.439237E-01    0.439237E-01
Case1-1.459-13.094-60D_30    0.436367E-01    0.436367E-01
Case1-1.459-13.344-60D_30    0.433964E-01    0.433964E-01
Case1-1.459-13.594-60D_30    0.432018E-01    0.432018E-01
Case1-1.459-13.844-60D_30    0.430523E-01    0.430523E-01
Case1-1.484-11.344-60D_30    0.463608E-01    0.463608E-01
Case1-1.484-11.594-60D_30    0.456706E-01    0.456706E-01
Case1-1.484-11.844-60D_30    0.450421E-01    0.450421E-01
Case1-1.484-12.094-60D_30    0.444717E-01    0.444717E-01
Case1-1.484-12.344-60D_30    0.439596E-01    0.439596E-01
Case1-1.484-12.594-60D_30    0.435012E-01    0.435012E-01
Case1-1.484-12.844-60D_30    0.430934E-01    0.430934E-01
Case1-1.484-13.094-60D_30    0.427320E-01    0.427320E-01
Case1-1.484-13.344-60D_30    0.424153E-01    0.424153E-01
Case1-1.484-13.594-60D_30    0.421436E-01    0.421436E-01
Case1-1.484-13.844-60D_30    0.419131E-01    0.419131E-01
Case1-1.509-11.344-60D_30    0.461028E-01    0.461028E-01
Case1-1.509-11.594-60D_30    0.453455E-01    0.453455E-01
Case1-1.509-11.844-60D_30    0.446498E-01    0.446498E-01
Case1-1.509-12.094-60D_30    0.440165E-01    0.440165E-01
Case1-1.509-12.344-60D_30    0.434407E-01    0.434407E-01
Case1-1.509-12.594-60D_30    0.429163E-01    0.429163E-01
Case1-1.509-12.844-60D_30    0.424398E-01    0.424398E-01
Case1-1.509-13.094-60D_30    0.420141E-01    0.420141E-01
Case1-1.509-13.344-60D_30    0.416331E-01    0.416331E-01
Case1-1.509-13.594-60D_30    0.412943E-01    0.412943E-01
Case1-1.509-13.844-60D_30    0.409955E-01    0.409955E-01
Case1-1.534-11.344-60D_30    0.459640E-01    0.459640E-01
Case1-1.534-11.594-60D_30    0.451465E-01    0.451465E-01
Case1-1.534-11.844-60D_30    0.443895E-01    0.443895E-01
Case1-1.534-12.094-60D_30    0.436974E-01    0.436974E-01
Case1-1.534-12.344-60D_30    0.430612E-01    0.430612E-01
Case1-1.534-12.594-60D_30    0.424752E-01    0.424752E-01
Case1-1.534-12.844-60D_30    0.419432E-01    0.419432E-01
Case1-1.534-13.094-60D_30    0.414577E-01    0.414577E-01
Case1-1.534-13.344-60D_30    0.410160E-01    0.410160E-01
Case1-1.534-13.594-60D_30    0.406157E-01    0.406157E-01
Case1-1.534-13.844-60D_30    0.402579E-01    0.402579E-01
Case1-1.559-11.344-60D_30    0.459348E-01    0.459348E-01
Case1-1.559-11.594-60D_30    0.450564E-01    0.450564E-01
Case1-1.559-11.844-60D_30    0.442456E-01    0.442456E-01
Case1-1.559-12.094-60D_30    0.434943E-01    0.434943E-01
Case1-1.559-12.344-60D_30    0.428042E-01    0.428042E-01
Case1-1.559-12.594-60D_30    0.421639E-01    0.421639E-01
Case1-1.559-12.844-60D_30    0.415778E-01    0.415778E-01
Case1-1.559-13.094-60D_30    0.410374E-01    0.410374E-01
