Case Group,Width,Length,Curvature,Status
case_files\Case4,0.5,17.0,0.42078,Checked
case_files\Case4,0.525,17.0,0.402216,Checked
case_files\Case4,0.55,17.0,0.384028,Checked
case_files\Case4,0.575,17.0,0.366395,Checked
case_files\Case4,0.6,17.0,0.348996,Checked
case_files\Case4,0.625,17.0,0.332018,Checked
case_files\Case4,0.65,17.0,0.315374,Checked
case_files\Case4,0.675,17.0,0.299237,Checked
case_files\Case4,0.7,17.0,0.283495,Checked
case_files\Case4,0.725,17.0,0.268126,Checked
case_files\Case4,0.75,17.0,0.252855,Checked
case_files\Case4,0.775,17.0,0.237953,Checked
case_files\Case4,0.8,17.0,0.223176,Checked
case_files\Case4,0.825,17.0,0.208473,Checked
case_files\Case4,0.85,17.0,0.194068,Checked
case_files\Case4,0.875,17.0,0.180493,Checked
case_files\Case4,0.9,17.0,0.168089,Checked
case_files\Case4,0.925,17.0,0.156657,Checked
case_files\Case4,0.95,17.0,0.146097,Checked
case_files\Case4,0.975,17.0,0.136364,Checked
case_files\Case4,1.0,17.0,0.1274,Checked
case_files\Case4,1.025,17.0,0.119142,Checked
case_files\Case4,1.05,17.0,0.111537,Checked
case_files\Case4,1.075,17.0,0.104539,Checked
case_files\Case4,1.1,17.0,0.0980948,Checked
case_files\Case4,1.125,17.0,0.0921508,Checked
case_files\Case4,1.15,17.0,0.0866637,Checked
case_files\Case4,1.175,17.0,0.0815965,Checked
case_files\Case4,1.2,17.0,0.0769156,Checked
case_files\Case4,1.225,17.0,0.0725839,Checked
case_files\Case4,1.25,17.0,0.0685726,Checked
case_files\Case4,1.275,17.0,0.0648554,Checked
case_files\Case4,1.3,17.0,0.0614005,Checked
case_files\Case4,1.325,17.0,0.0581887,Checked
case_files\Case4,1.35,17.0,0.0551937,Checked
case_files\Case4,1.375,17.0,0.0524008,Checked
case_files\Case4,1.4,17.0,0.0497937,Checked
case_files\Case4,1.425,17.0,0.047352,Checked
case_files\Case4,1.45,17.0,0.0450651,Checked
case_files\Case4,1.475,17.0,0.0429212,Checked
case_files\Case4,1.5,17.0,0.04091,Checked
case_files\Case4,1.5,16.75,0.0407472,Checked
case_files\Case4,1.5,16.5,0.0406174,Checked
case_files\Case4,1.5,16.25,0.0405192,Checked
case_files\Case4,1.5,16.0,0.0404536,Checked
case_files\Case4,1.5,15.75,0.0404215,Checked
case_files\Case4,1.5,15.5,0.0404227,Checked
case_files\Case4,1.5,15.25,0.0404577,Checked
case_files\Case4,1.5,15.0,0.0405276,Checked
case_files\Case4,1.5,14.75,0.0406322,Checked
case_files\Case4,1.5,14.5,0.0407724,Checked
case_files\Case4,1.5,14.25,0.0409482,Checked
case_files\Case4,1.5,14.0,0.041161,Checked
case_files\Case4,1.5,13.75,0.0414111,Checked
case_files\Case4,1.5,13.5,0.041703,Checked
case_files\Case4,1.5,13.25,0.0420368,Checked
case_files\Case4,1.525,13.25,0.0413874,Checked
case_files\Case4,1.525,13.0,0.0418252,Checked
case_files\Case4,1.55,13.0,0.0413816,Checked
case_files\Case4,1.55,12.75,0.0419217,Checked
case_files\Case4,1.575,12.75,0.0416529,Checked
case_files\Case4,1.575,12.5,0.0422945,Checked
case_files\Case4,1.6,12.5,0.042176,Checked
case_files\Case4,1.625,12.5,0.0421506,Checked
case_files\Case4,1.65,12.5,0.0422003,Checked
case_files\Case4,1.675,12.5,0.0423194,Checked
case_files\Case4,1.7,12.5,0.0425025,Checked
case_files\Case4,1.725,12.5,0.0427449,Checked
case_files\Case4,1.75,12.5,0.0430394,Checked
case_files\Case4,1.775,12.5,0.0433787,Checked
case_files\Case4,1.8,12.5,0.0437702,Checked
case_files\Case4,1.825,12.5,0.0441961,Checked
case_files\Case4,1.85,12.5,0.0446697,Checked
case_files\Case4,1.875,12.5,0.045175,Checked
case_files\Case4,1.9,12.5,0.045714,Checked
case_files\Case4,1.925,12.5,0.0462905,Checked
case_files\Case4,1.95,12.5,0.0468984,Checked
case_files\Case4,1.975,12.5,0.0475344,Checked
case_files\Case4,2.0,12.5,0.0481961,Checked
