case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.5-8.0-60D_30,0.530543E-01,0.530543E-01
case_files\Case1-0.5-8.25-60D_30,0.530177E-01,0.530177E-01
case_files\Case1-0.5-8.5-60D_30,0.529765E-01,0.529765E-01
case_files\Case1-0.5-8.75-60D_30,0.529306E-01,0.529306E-01
case_files\Case1-0.5-9.0-60D_30,0.528810E-01,0.528810E-01
case_files\Case1-0.5-9.25-60D_30,0.528276E-01,0.528276E-01
case_files\Case1-0.5-9.5-60D_30,0.527709E-01,0.527709E-01
case_files\Case1-0.5-9.75-60D_30,0.527109E-01,0.527109E-01
case_files\Case1-0.5-10.0-60D_30,0.526480E-01,0.526480E-01
case_files\Case1-0.5-10.25-60D_30,0.525826E-01,0.525826E-01
case_files\Case1-0.5-10.5-60D_30,0.525146E-01,0.525146E-01
case_files\Case1-0.5-10.75-60D_30,0.524444E-01,0.524444E-01
case_files\Case1-0.5-11.0-60D_30,0.523721E-01,0.523721E-01
case_files\Case1-0.5-11.25-60D_30,0.522978E-01,0.522978E-01
case_files\Case1-0.5-11.5-60D_30,0.522216E-01,0.522216E-01
case_files\Case1-0.5-11.75-60D_30,0.521438E-01,0.521438E-01
case_files\Case1-0.5-12.0-60D_30,0.520645E-01,0.520645E-01
case_files\Case1-0.5-12.25-60D_30,0.519838E-01,0.519838E-01
case_files\Case1-0.5-12.5-60D_30,0.519018E-01,0.519018E-01
case_files\Case1-0.5-12.75-60D_30,0.518181E-01,0.518181E-01
case_files\Case1-0.5-13.0-60D_30,0.517331E-01,0.517331E-01
case_files\Case1-0.5-13.25-60D_30,0.516470E-01,0.516470E-01
case_files\Case1-0.5-13.5-60D_30,0.515599E-01,0.515599E-01
case_files\Case1-0.5-13.75-60D_30,0.514718E-01,0.514718E-01
case_files\Case1-0.5-14.0-60D_30,0.513828E-01,0.513828E-01
case_files\Case1-0.5-14.25-60D_30,0.512931E-01,0.512931E-01
case_files\Case1-0.5-14.5-60D_30,0.512026E-01,0.512026E-01
case_files\Case1-0.5-14.75-60D_30,0.511114E-01,0.511114E-01
case_files\Case1-0.5-15.0-60D_30,0.510195E-01,0.510195E-01
case_files\Case1-0.5-15.25-60D_30,0.509269E-01,0.509269E-01
case_files\Case1-0.5-15.5-60D_30,0.508338E-01,0.508338E-01
case_files\Case1-0.5-15.75-60D_30,0.507400E-01,0.507400E-01
case_files\Case1-0.5-16.0-60D_30,0.506456E-01,0.506456E-01
case_files\Case1-0.5-16.25-60D_30,0.505506E-01,0.505506E-01
case_files\Case1-0.5-16.5-60D_30,0.504551E-01,0.504551E-01
case_files\Case1-0.5-16.75-60D_30,0.503592E-01,0.503592E-01
case_files\Case1-0.5-17.0-60D_30,0.502630E-01,0.502630E-01
case_files\Case1-0.525-8.0-60D_30,0.487054E-01,0.487054E-01
case_files\Case1-0.525-8.25-60D_30,0.486946E-01,0.486946E-01
case_files\Case1-0.525-8.5-60D_30,0.486787E-01,0.486787E-01
